host_is_superhost,neighbourhood_cleansed,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,,
1,1,1,2,2,1,1,11,5,1125,9,10,9,9,9,9,1,8,,
0,3,2,2,1,1,2,5,1,365,4,6,8,6,6,6,0,1,,
0,2,2,1,1,1,1,2,1,30,5,5,5,5,5,5,0,1,,
0,1,1,2,1,1,2,4,3,1125,9,9,10,9,8,9,0,2,,
0,1,1,4,1,1,3,5,3,1125,7,8,8,8,8,7,0,7,,
0,1,2,2,1,1,1,5,1,1125,5,5,5,5,5,5,0,1,,
1,1,3,2,1,1,1,4,1,1125,10,10,10,10,9,10,1,16,,
1,1,1,2,1,1,1,3,1,1125,9,9,10,10,10,9,1,16,,
1,1,3,2,1,1,1,4,1,1125,9,10,10,10,10,9,1,16,,
1,1,1,2,1,1,1,4,1,1125,9,10,10,10,10,10,1,16,,
0,1,2,2,1,1,2,2,1,1125,5,5,5,5,5,5,1,1,,
0,2,2,5,1,1,1,13,3,1125,5,5,5,5,5,5,0,1,,
1,5,2,2,1,1,1,2,20,1125,10,9,10,10,9,9,0,11,,
0,10,1,2,1,1,2,3,3,90,10,9,9,10,9,9,0,1,,
0,1,1,4,1,1,2,14,1,1125,6,8,10,10,10,6,0,5,,
0,6,2,1,1,1,1,6,2,180,5,5,5,5,5,5,0,1,,
1,1,1,3,1,1,2,5,6,1124,10,10,10,10,10,10,1,7,,
0,1,1,4,1,1,1,4,3,1125,10,10,10,10,8,9,0,2,,
0,6,2,1,1,1,1,2,1,180,5,5,5,5,5,5,0,1,,
1,1,1,3,1,1,1,7,10,1125,10,10,10,10,10,9,0,7,,
1,1,1,3,1,1,1,5,6,1125,10,10,10,10,10,10,0,7,,
1,1,1,4,1,1,2,3,2,180,10,10,10,10,10,9,1,5,,
0,1,3,2,1,1,2,4,1,90,9,9,10,10,10,9,1,6,,
0,1,3,2,1,1,1,3,1,90,10,10,10,10,10,10,1,6,,
1,1,1,5,1,1,2,4,2,1125,9,9,10,10,9,9,1,9,,
1,1,1,3,1,1,2,3,2,365,10,9,10,10,10,9,1,9,,
1,1,1,3,1,1,2,2,2,2500,9,9,10,10,10,9,1,9,,
0,1,2,2,1,1,1,6,1,365,5,5,5,5,5,5,0,3,,
0,8,2,2,1,1,1,3,1,1825,5,5,5,5,5,5,0,1,,
0,1,1,6,2,2,4,8,2,180,9,10,10,10,10,10,0,15,,
0,1,1,6,4,3,3,48,2,180,10,10,10,10,10,9,0,15,,
0,4,2,1,1,1,1,2,2,1125,10,8,10,9,10,9,0,1,,
0,1,2,2,1,1,1,4,3,15,10,10,10,10,10,10,0,1,,
0,22,1,1,1,1,1,16,1,120,5,5,5,5,5,5,0,1,,
0,4,2,1,1,1,1,4,1,1125,5,5,5,5,5,5,0,1,,
0,1,1,2,1,1,0,3,3,300,10,9,9,9,10,9,0,1,,
0,4,2,2,1,1,1,10,1,10,5,5,5,5,5,5,0,2,,
0,1,3,2,1,1,1,4,1,180,9,9,9,9,10,9,1,6,,
0,3,1,3,1,1,1,5,5,21,10,10,10,10,10,10,0,7,,
