,host_is_superhost,neighbourhood_cleansed,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count
40,f,Beyoglu,Entire home/apt,3,1 bath,1.0,1.0,$483.00,3,10,9.0,10.0,10.0,10.0,10.0,9.0,f,2
41,f,Beyoglu,Entire home/apt,4,1 bath,1.0,4.0,"$1,127.00",6,730,10.0,10.0,10.0,10.0,10.0,10.0,f,1
42,f,Beyoglu,Entire home/apt,6,1 bath,2.0,2.0,$904.00,2,365,9.0,9.0,9.0,10.0,9.0,8.0,t,3
43,t,Beyoglu,Entire home/apt,5,1 bath,2.0,2.0,$314.00,2,1125,9.0,9.0,10.0,10.0,10.0,9.0,t,9
44,t,Beyoglu,Entire home/apt,4,1 bath,2.0,2.0,$942.00,2,365,10.0,10.0,10.0,10.0,10.0,10.0,f,3
45,f,Maltepe,Entire home/apt,2,2 baths,1.0,2.0,$844.00,3,30,,,,,,,f,1
46,t,Uskudar,Entire home/apt,4,1 bath,1.0,3.0,$407.00,30,1125,10.0,10.0,10.0,10.0,10.0,10.0,f,2
47,f,Beyoglu,Entire home/apt,4,1 bath,1.0,1.0,"$1,207.00",7,365,9.0,7.0,9.0,9.0,10.0,9.0,f,1
48,f,Sisli,Private room,2,1 bath,1.0,1.0,$241.00,1,365,,,,,,,f,1
49,f,Beyoglu,Private room,2,1 shared bath,1.0,1.0,$201.00,2,20,10.0,10.0,10.0,10.0,10.0,10.0,f,2
50,t,Beyoglu,Private room,1,1 shared bath,1.0,1.0,$143.00,20,1124,10.0,9.0,10.0,10.0,10.0,10.0,f,9
51,t,Beyoglu,Private room,1,1 shared bath,1.0,1.0,$116.00,16,1124,9.0,8.0,10.0,9.0,9.0,9.0,f,9
52,f,Uskudar,Private room,1,,1.0,1.0,$231.00,1,730,,,,,,,f,1
53,f,Esenyurt,Private room,3,,1.0,,$818.00,1,730,,,,,,,f,1
54,f,Beyoglu,Entire home/apt,3,1 bath,1.0,1.0,$238.00,3,1125,10.0,10.0,10.0,10.0,10.0,10.0,f,1
55,f,Beyoglu,Entire home/apt,3,1.5 baths,1.0,2.0,$381.00,14,730,8.0,8.0,10.0,10.0,10.0,10.0,f,2
56,f,Beyoglu,Private room,2,1 shared bath,1.0,1.0,$337.00,3,90,10.0,10.0,10.0,10.0,10.0,10.0,f,1
57,f,Beykoz,Private room,12,1 bath,1.0,2.0,"$3,113.00",1,730,,,,,,,f,2
58,f,Kadikoy,Entire home/apt,4,1 bath,3.0,3.0,$674.00,3,365,9.0,9.0,10.0,10.0,9.0,9.0,t,3
59,f,Fatih,Private room,3,0 baths,1.0,2.0,$143.00,20,210,10.0,9.0,10.0,10.0,10.0,10.0,f,2
60,f,Beyoglu,Entire home/apt,3,1 bath,1.0,1.0,$213.00,30,365,10.0,9.0,10.0,10.0,10.0,9.0,f,12
61,f,Beyoglu,Entire home/apt,4,1 bath,2.0,2.0,$561.00,5,365,9.0,10.0,10.0,10.0,10.0,8.0,f,7
62,t,Uskudar,Entire home/apt,3,1 bath,1.0,1.0,$381.00,3,180,10.0,10.0,10.0,10.0,10.0,10.0,f,2
63,f,Kadikoy,Private room,6,1 bath,1.0,6.0,$155.00,1,365,10.0,9.0,10.0,10.0,9.0,10.0,f,1
64,f,Sisli,Private room,1,1 bath,1.0,1.0,$381.00,5,660,,,,,,,f,1
65,f,Basaksehir,Entire home/apt,4,,2.0,,$963.00,1,760,,,,,,,f,1
66,f,Beyoglu,Entire home/apt,4,1 bath,2.0,2.0,$942.00,5,365,9.0,9.0,10.0,9.0,8.0,9.0,f,7
67,f,Fatih,Private room,4,1 private bath,1.0,0.0,$564.00,1,1125,8.0,9.0,9.0,9.0,9.0,9.0,t,3
68,f,Beyoglu,Private room,1,1.5 baths,1.0,1.0,$333.00,14,760,8.0,8.0,10.0,8.0,10.0,10.0,f,2
69,f,Kadikoy,Private room,1,1 shared bath,1.0,1.0,$146.00,2,365,10.0,10.0,10.0,10.0,10.0,9.0,f,2
70,f,Kadikoy,Private room,1,1 bath,1.0,1.0,$177.00,2,760,10.0,8.0,10.0,10.0,10.0,10.0,f,2
71,f,Fatih,Private room,2,1 bath,1.0,2.0,$523.00,1,365,,,,,,,f,1
72,f,Fatih,Private room,3,1 bath,1.0,3.0,$714.00,2,30,,,,,,,f,1
73,f,Beyoglu,Entire home/apt,2,,1.0,1.0,$476.00,7,90,,10.0,10.0,10.0,10.0,10.0,f,1
74,f,Beyoglu,Entire home/apt,5,1 bath,3.0,4.0,$769.00,1,365,9.0,9.0,9.0,10.0,10.0,9.0,t,3
75,f,Beyoglu,Private room,2,1 bath,1.0,1.0,$856.00,1,365,,,,,,,f,1
