,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,host_is_superhost,neighbourhood_cleansed,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count
9512,10686,11674,11674,0,4,2,2,2.0,1.0,1.0,160.0,3,1125,10.0,10.0,10.0,10.0,10.0,10.0,1,2
9513,10687,11675,11675,0,4,1,6,2.0,2.0,3.0,320.0,4,1125,10.0,10.0,10.0,10.0,10.0,10.0,1,2
9514,10688,11676,11676,0,14,1,4,1.0,1.0,2.0,285.0,10,1125,5.0,5.0,5.0,5.0,5.0,5.0,0,2
9515,10689,11677,11677,1,4,1,3,1.0,1.0,1.0,258.0,25,1125,9.0,9.0,9.0,9.0,10.0,9.0,0,8
9516,10690,11678,11678,1,1,1,4,1.0,2.0,2.0,219.0,2,1125,10.0,10.0,10.0,10.0,10.0,10.0,0,1
9517,10691,11679,11679,0,3,2,3,1.0,1.0,3.0,523.0,2,180,7.0,7.0,10.0,10.0,10.0,9.0,1,2
9518,10692,11680,11680,0,1,1,4,1.0,1.0,2.0,381.0,1,1125,8.0,6.0,10.0,10.0,9.0,8.0,0,8
9519,10693,11681,11681,0,10,1,3,2.0,2.0,2.0,350.0,2,8,5.0,5.0,5.0,5.0,5.0,5.0,0,1
9520,10695,11683,11683,0,1,2,2,1.0,1.0,1.0,105.0,1,1125,9.0,8.0,10.0,10.0,9.0,9.0,1,2
9521,10696,11684,11684,0,17,1,3,1.0,1.0,1.0,407.0,5,1125,5.0,5.0,5.0,5.0,5.0,5.0,1,1
9522,10697,11685,11685,0,1,2,2,1.0,1.0,1.0,190.0,1,1125,10.0,9.0,9.0,10.0,10.0,9.0,1,5
9523,10699,11687,11687,0,7,1,4,1.0,1.0,2.0,407.0,3,1125,10.0,10.0,10.0,10.0,10.0,10.0,0,4
9524,10701,11689,11689,0,26,2,2,1.0,2.0,0.0,180.0,4,1125,5.0,5.0,5.0,5.0,5.0,5.0,1,1
9525,10702,11690,11690,0,12,3,3,1.0,1.0,1.0,300.0,1,1125,2.0,8.0,6.0,6.0,2.0,6.0,1,3
9526,10703,11691,11691,1,23,1,3,1.0,1.0,3.0,309.0,1,1125,10.0,9.0,10.0,10.0,10.0,10.0,0,3
9527,10704,11692,11692,0,29,2,2,1.0,1.0,1.0,150.0,1,1125,9.0,9.0,9.0,9.0,9.0,9.0,0,1
9528,10706,11694,11694,0,28,2,4,2.0,1.0,1.0,204.0,1,5,5.0,5.0,5.0,5.0,5.0,5.0,0,1
9529,10707,11695,11695,0,5,1,4,1.0,2.0,1.0,222.0,2,120,9.0,8.0,10.0,10.0,9.0,9.0,1,1
9530,10709,11697,11697,0,4,2,2,1.0,1.0,2.0,80.0,1,6,5.0,5.0,5.0,5.0,5.0,5.0,1,1
9531,10710,11698,11698,0,3,2,2,1.0,1.0,1.0,190.0,1,28,5.0,5.0,5.0,5.0,5.0,5.0,1,4
9532,10711,11699,11699,0,36,4,5,1.0,1.0,4.0,71.0,1,1125,2.0,8.0,2.0,2.0,8.0,2.0,1,2
9533,10712,11700,11700,0,10,1,4,2.0,2.0,4.0,472.0,10,1125,5.0,5.0,5.0,5.0,5.0,5.0,1,2
9534,10713,11702,11702,0,1,1,4,1.0,1.0,3.0,372.0,2,1125,10.0,8.0,10.0,10.0,6.0,10.0,1,2
9535,10715,11704,11704,0,1,2,2,1.0,1.0,1.0,190.0,1,1125,10.0,9.0,10.0,10.0,10.0,9.0,1,5
9536,10716,11705,11705,0,8,1,2,1.0,1.0,1.0,250.0,2,5,10.0,10.0,10.0,10.0,9.0,10.0,0,1
9537,10717,11706,11706,0,8,1,3,1.0,1.0,2.0,300.0,1,150,5.0,5.0,5.0,5.0,5.0,5.0,1,1
9538,10718,11707,11707,0,31,1,3,1.0,1.0,2.0,550.0,2,1125,5.0,5.0,5.0,5.0,5.0,5.0,0,1
9539,10719,11708,11708,0,4,2,2,1.0,1.0,1.0,140.0,1,365,10.0,8.0,10.0,10.0,10.0,10.0,0,1
9540,10720,11709,11709,0,1,2,2,1.0,1.0,1.0,219.0,2,60,8.0,8.0,9.0,9.0,10.0,8.0,0,2
9541,10721,11710,11710,0,4,1,3,1.0,1.0,1.0,402.0,3,7,10.0,10.0,9.0,10.0,9.0,10.0,0,1
9542,10722,11711,11711,0,6,4,2,1.0,1.0,1.0,80.0,2,7,5.0,5.0,5.0,5.0,5.0,5.0,1,1
9543,10723,11713,11713,0,3,3,4,1.0,1.0,4.0,333.0,1,1125,10.0,10.0,10.0,10.0,8.0,10.0,1,3
9544,10724,11714,11714,0,2,2,1,1.0,1.0,1.0,320.0,1,91,5.0,5.0,5.0,5.0,5.0,5.0,1,1
9545,10725,11715,11715,0,11,2,2,1.0,1.0,1.0,150.0,2,5,5.0,5.0,5.0,5.0,5.0,5.0,1,1
9546,10726,11716,11716,0,1,1,3,1.0,1.0,2.0,282.0,3,21,10.0,10.0,10.0,10.0,10.0,10.0,0,1
9547,10727,11717,11717,0,1,2,2,1.0,1.0,6.0,125.0,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,1,1
9548,10728,11718,11718,0,3,2,2,1.0,1.0,1.0,120.0,2,1125,9.0,5.0,10.0,10.0,9.0,7.0,1,1
9549,10729,11719,11719,0,4,4,1,1.0,1.0,1.0,67.0,1,365,5.0,5.0,5.0,5.0,5.0,5.0,1,1
9550,10730,11721,11721,0,4,1,2,1.0,1.0,1.0,144.0,1,32,9.0,8.0,10.0,10.0,10.0,9.0,1,3
9551,10731,11723,11723,0,3,3,3,1.0,1.0,3.0,190.0,1,1125,10.0,9.0,10.0,10.0,10.0,10.0,1,5
9552,10732,11724,11724,0,11,2,2,1.0,1.0,2.0,155.0,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,1,1
9553,10733,11725,11725,0,2,1,3,1.0,2.0,2.0,177.0,2,1125,9.0,10.0,10.0,10.0,8.0,8.0,0,3
9554,10734,11726,11726,0,2,1,3,1.0,1.0,1.0,150.0,1,28,7.0,7.0,10.0,10.0,9.0,7.0,0,1
9555,10735,11727,11727,0,26,1,5,1.0,2.0,2.0,578.0,4,1125,5.0,5.0,5.0,5.0,5.0,5.0,1,3
9556,10736,11728,11728,0,4,2,2,1.0,1.0,1.0,146.0,1,30,5.0,7.0,7.0,9.0,9.0,6.0,1,3
9557,10737,11729,11729,0,17,1,7,2.0,2.0,4.0,568.0,2,1125,5.0,5.0,5.0,5.0,5.0,5.0,0,1
9558,10738,11730,11730,0,1,1,5,1.0,1.0,3.0,362.0,1,365,9.0,9.0,10.0,9.0,10.0,9.0,1,10
9559,10739,11731,11731,0,2,1,3,1.0,1.0,2.0,320.0,5,1125,7.0,7.0,7.0,8.0,10.0,7.0,0,1
9560,10740,11732,11732,0,9,2,2,1.0,1.0,2.0,193.0,1,7,5.0,5.0,5.0,5.0,5.0,5.0,1,1
9561,10741,11733,11733,1,2,1,4,1.0,1.0,2.0,334.0,3,60,10.0,10.0,10.0,10.0,10.0,10.0,1,7
9562,10742,11734,11734,0,12,2,2,1.0,1.0,1.0,150.0,3,15,5.0,5.0,5.0,5.0,5.0,5.0,1,1
9563,10743,11735,11735,0,7,1,9,2.0,2.0,3.0,430.0,9,1125,6.0,8.0,10.0,6.0,6.0,6.0,1,3
9564,10744,11736,11736,0,5,1,3,1.0,1.0,1.0,100.0,1,14,10.0,10.0,10.0,10.0,10.0,9.0,1,1
9565,10746,11738,11738,0,4,2,2,0.0,1.0,2.0,100.0,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,1,3
9566,10747,11739,11739,0,32,2,2,2.0,1.0,1.0,106.0,1,10,5.0,5.0,5.0,5.0,5.0,5.0,0,3
9567,10748,11740,11740,0,7,1,6,2.0,2.0,3.0,489.0,7,1125,5.0,5.0,5.0,5.0,5.0,5.0,1,1
9568,10749,11741,11741,0,32,2,2,2.0,1.0,1.0,144.0,1,45,5.0,5.0,5.0,5.0,5.0,5.0,0,3
9569,10750,11742,11742,0,32,2,2,2.0,1.0,1.0,144.0,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,0,3
