,Unnamed: 0,host_is_superhost,neighbourhood_cleansed,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count
14126,14126,1,3,2,1,1,1.0,1.0,319.0,2,60,5,5,5,5,5,5,1,12
14127,14127,1,3,2,1,1,1.0,1.0,319.0,2,60,5,5,5,5,5,5,1,12
14128,14128,0,5,1,3,1,2.0,4.0,266.0,1,7,5,5,5,5,5,5,0,1
14129,14129,0,4,1,3,1,2.0,2.0,428.0,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,1,2
14131,14131,0,6,2,1,1,1.0,1.0,60.0,1,1125,5,5,5,5,5,5,0,3
14132,14132,0,6,2,2,1,1.0,2.0,193.0,1,1125,5,5,5,5,5,5,1,3
14133,14133,0,2,2,1,1,1.0,1.0,80.0,3,4,5,5,5,5,5,5,0,1
14134,14134,0,3,1,4,1,1.0,3.0,218.0,2,1125,10.0,10.0,10.0,10.0,10.0,10.0,1,10
14135,14135,0,9,2,1,1,1.0,1.0,122.0,1,1125,5,5,5,5,5,5,0,1
14136,14136,1,15,1,2,2,1.0,2.0,450.0,5,1125,10.0,9.0,10.0,10.0,8.0,9.0,1,3
14137,14137,0,3,2,2,1,1.0,1.0,200.0,1,1125,5,5,5,5,5,5,1,4
14138,14138,0,1,2,2,1,1.0,1.0,171.0,2,1125,5,5,5,5,5,5,0,20
14139,14139,0,2,2,2,1,1.0,1.0,100.0,2,365,5,5,5,5,5,5,1,3
14140,14140,0,15,2,1,1,1.0,1.0,212.0,1,1125,10.0,10.0,8.0,9.0,10.0,9.0,1,19
14141,14141,0,15,2,2,1,1.0,1.0,289.0,1,1125,10.0,9.0,10.0,10.0,10.0,10.0,1,19
14142,14142,0,15,2,1,1,1.0,2.0,212.0,1,1125,5,5,5,5,5,5,1,19
14143,14143,0,15,2,3,1,1.0,1.0,337.0,1,1125,8.0,10.0,10.0,10.0,9.0,10.0,1,19
14144,14144,0,4,2,1,2,1.0,1.0,121.0,2,5,8.0,8.0,8.0,7.0,8.0,8.0,0,1
14145,14145,0,15,1,5,1,2.0,5.0,433.0,1,1125,9.0,9.0,10.0,9.0,9.0,10.0,1,19
14146,14146,0,5,1,6,2,3.0,3.0,600.0,3,1125,5,5,5,5,5,5,0,1
14147,14147,0,34,2,2,1,1.0,2.0,65.0,1,1125,5,5,5,5,5,5,1,1
14148,14148,1,7,1,4,1,2.0,3.0,150.0,3,1125,8.0,8.0,9.0,9.0,8.0,8.0,0,6
14149,14149,0,3,2,1,1,1.0,1.0,319.0,2,1125,5,5,5,5,5,5,1,11
14150,14150,0,3,1,4,1,2.0,3.0,273.0,1,1125,10.0,10.0,10.0,10.0,9.0,10.0,1,4
14151,14151,1,2,2,3,1,1.0,1.0,271.0,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,1,14
14152,14152,0,1,1,4,1,1.0,2.0,500.0,2,1125,5,5,5,5,5,5,1,1
14153,14153,0,9,2,2,1,2.0,2.0,100.0,1,1125,5,5,5,5,5,5,1,1
14154,14154,0,3,2,1,1,1.0,1.0,319.0,2,1125,5,5,5,5,5,5,1,12
14155,14155,0,3,2,1,1,1.0,1.0,319.0,2,1125,5,5,5,5,5,5,1,12
14156,14156,0,3,2,1,1,1.0,1.0,319.0,2,1125,5,5,5,5,5,5,1,11
14157,14157,0,3,2,1,1,1.0,1.0,319.0,2,1125,5,5,5,5,5,5,0,11
14158,14158,0,8,1,4,1,1.0,2.0,290.0,1,1125,5,5,5,5,5,5,1,24
14159,14159,1,5,1,4,1,1.0,3.0,362.0,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,0,4
14160,14160,0,9,2,1,1,1.0,1.0,62.0,2,1125,5,5,5,5,5,5,1,1
14161,14161,1,11,1,4,1,2.0,3.0,591.0,2,1125,10.0,9.0,10.0,10.0,10.0,10.0,1,1
14162,14162,0,2,1,3,1,1.0,1.0,240.0,1,1125,9.0,10.0,10.0,10.0,10.0,9.0,0,17
14164,14164,0,10,2,2,1,1.0,1.0,100.0,1,1125,5,5,5,5,5,5,0,1
14166,14166,0,15,2,1,1,1.0,1.0,326.0,1,3,5,5,5,5,5,5,1,1
14167,14167,0,3,2,1,1,1.0,1.0,319.0,2,1125,5,5,5,5,5,5,1,11
14168,14168,0,3,2,1,1,1.0,1.0,319.0,2,1125,5,5,5,5,5,5,1,11
14169,14169,0,3,2,1,1,1.0,1.0,313.0,2,1125,5,5,5,5,5,5,1,11
14170,14170,0,3,2,1,1,1.0,1.0,313.0,2,1125,5,5,5,5,5,5,1,11
14171,14171,0,4,2,2,1,1.0,1.0,241.0,1,1125,5,5,5,5,5,5,0,1
14172,14172,0,16,1,4,2,3.0,0.0,529.0,15,360,5,5,5,5,5,5,1,2
14173,14173,0,4,1,3,1,1.0,1.0,251.0,2,30,9.0,9.0,10.0,10.0,10.0,10.0,1,2
14174,14174,0,1,1,4,1,1.0,2.0,152.0,2,1125,8.0,8.0,8.0,9.0,9.0,10.0,1,11
14175,14175,0,1,1,4,1,1.0,2.0,238.0,1,1125,7.0,8.0,10.0,10.0,10.0,8.0,1,11
14176,14176,0,1,1,4,1,1.0,2.0,228.0,2,1125,9.0,10.0,7.0,9.0,7.0,8.0,1,11
14178,14178,0,2,1,4,1,2.0,3.0,419.0,1,1125,5,5,5,5,5,5,1,1
14179,14179,0,8,2,1,1,1.0,1.0,92.0,1,30,5,5,5,5,5,5,0,1
14180,14180,0,7,1,2,2,2.0,2.0,244.0,7,30,5,5,5,5,5,5,0,1
14183,14183,0,6,4,2,1,1.0,1.0,657.0,1,3,5,5,5,5,5,5,1,1
14184,14184,0,3,1,7,2,2.0,5.0,390.0,1,7,5,5,5,5,5,5,1,1
14185,14185,0,24,1,3,2,2.0,2.0,10000.0,1,1125,5,5,5,5,5,5,1,1
14186,14186,1,2,2,2,1,1.0,1.0,121.0,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,0,3
14187,14187,1,18,1,6,2,2.0,5.0,211.0,1,1125,10.0,8.0,10.0,10.0,10.0,10.0,0,5
14188,14188,0,10,2,2,1,1.0,0.0,264.0,1,1125,6.0,6.0,10.0,2.0,6.0,6.0,1,6
14189,14189,0,15,2,2,1,1.0,1.0,257.0,1,1125,10.0,9.0,9.0,9.0,8.0,10.0,1,6
14190,14190,0,4,2,1,2,1.0,2.0,86.0,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,1,1
14191,14191,0,1,1,4,1,1.0,6.0,209.0,3,1125,10.0,10.0,10.0,10.0,10.0,10.0,1,1
14192,14192,1,1,1,3,1,1.0,2.0,209.0,2,1125,8.0,10.0,10.0,9.0,10.0,9.0,1,3
14193,14193,0,1,2,1,1,1.0,1.0,80.0,1,1125,5,5,5,5,5,5,0,1
14194,14194,0,27,2,1,1,1.0,1.0,96.0,1,1125,5,5,5,5,5,5,1,1
14195,14195,0,2,2,3,2,1.0,2.0,80.0,1,3,5,5,5,5,5,5,0,2
14197,14197,0,8,2,2,1,1.0,2.0,110.0,3,1125,5,5,5,5,5,5,0,1
14198,14198,0,1,2,3,1,1.0,2.0,113.0,1,15,5,5,5,5,5,5,1,1
14199,14199,0,1,1,5,2,2.0,5.0,563.0,1,29,5,5,5,5,5,5,0,1
14200,14200,1,6,1,2,1,1.0,1.0,241.0,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,1,1
14202,14202,0,1,1,2,1,1.0,1.0,443.0,1,15,10.0,4.0,6.0,6.0,10.0,8.0,1,2
14203,14203,0,1,2,2,1,1.0,1.0,180.0,1,1125,5,5,5,5,5,5,1,6
14204,14204,0,1,2,4,1,1.0,3.0,390.0,1,1125,5,5,5,5,5,5,1,6
14205,14205,0,1,2,3,1,1.0,2.0,325.0,1,1125,5,5,5,5,5,5,1,6
14206,14206,0,1,2,2,1,1.0,1.0,180.0,1,1125,5,5,5,5,5,5,1,6
14207,14207,0,1,2,2,1,1.0,0.0,180.0,1,1125,10.0,6.0,10.0,10.0,10.0,10.0,1,6
14208,14208,1,7,1,4,1,2.0,4.0,285.0,3,20,10.0,10.0,10.0,10.0,9.0,9.0,1,3
14209,14209,0,9,2,2,1,1.0,2.0,80.0,1,1125,10.0,8.0,10.0,10.0,8.0,10.0,1,1
14210,14210,0,2,1,4,2,2.0,2.0,300.0,2,1125,10.0,10.0,10.0,10.0,10.0,10.0,0,2
14211,14211,0,19,1,7,1,2.0,3.0,1203.0,5,1125,5,5,5,5,5,5,0,1
14212,14212,0,5,2,1,1,1.0,1.0,80.0,1,1125,5,5,5,5,5,5,0,1
14213,14213,1,14,1,4,2,2.0,3.0,335.0,5,1125,10.0,10.0,10.0,10.0,10.0,10.0,1,22
14214,14214,1,14,1,2,1,1.0,1.0,293.0,5,1125,10.0,10.0,10.0,10.0,9.0,10.0,1,22
14215,14215,0,19,1,4,1,2.0,2.0,250.0,7,30,10.0,9.0,10.0,10.0,10.0,9.0,1,1
14216,14216,0,2,1,8,2,3.0,6.0,644.0,15,1125,5,5,5,5,5,5,1,9
14217,14217,0,1,2,2,1,1.0,3.0,109.0,1,1125,10.0,9.0,10.0,10.0,10.0,10.0,1,2
14218,14218,0,19,1,6,2,4.0,4.0,1700.0,5,1125,5,5,5,5,5,5,0,1
14219,14219,0,1,1,4,1,1.0,2.0,140.0,2,62,9.0,8.0,9.0,10.0,10.0,9.0,1,4
14220,14220,0,13,1,3,1,1.0,1.0,244.0,180,700,9.0,9.0,10.0,10.0,10.0,10.0,1,2
14221,14221,1,7,1,5,2,2.0,4.0,285.0,3,16,9.0,10.0,9.0,10.0,10.0,9.0,1,3
14222,14222,1,21,1,4,1,2.0,5.0,310.0,4,90,8.0,10.0,10.0,10.0,10.0,8.0,1,3
14223,14223,0,13,1,8,1,2.0,4.0,489.0,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,1,7
14225,14225,0,6,2,2,1,2.0,2.0,100.0,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,1,1
14226,14226,0,5,1,4,1,1.0,2.0,274.0,1,40,10.0,9.0,9.0,10.0,10.0,9.0,1,1
14227,14227,1,1,1,8,1,3.0,4.0,402.0,3,1125,10.0,10.0,10.0,10.0,10.0,10.0,1,1
14228,14228,0,16,4,2,1,1.0,0.0,326.0,1,1125,5,5,5,5,5,5,1,1
14230,14230,0,2,1,6,2,2.0,3.0,686.0,2,90,10.0,9.0,10.0,10.0,10.0,9.0,0,1
14231,14231,1,26,1,6,1,1.0,1.0,481.0,2,1125,10.0,10.0,10.0,10.0,10.0,10.0,0,5
14232,14232,0,1,2,1,1,1.0,2.0,97.0,2,1125,5,5,5,5,5,5,1,1
14233,14233,0,7,2,2,1,1.0,1.0,80.0,1,1125,10.0,6.0,10.0,10.0,10.0,8.0,1,1
14234,14234,0,2,2,4,1,1.0,3.0,165.0,1,10,5,5,5,5,5,5,1,1
14235,14235,0,1,1,2,1,1.0,1.0,200.0,1,1125,5,5,5,5,5,5,1,2
14236,14236,0,9,2,3,1,2.0,2.0,90.0,2,1125,10.0,10.0,10.0,10.0,10.0,10.0,1,1
14237,14237,0,2,2,2,1,1.0,1.0,100.0,1,30,5,5,5,5,5,5,1,1
14238,14238,0,2,1,4,2,2.0,4.0,5000.0,1,1125,5,5,5,5,5,5,1,2
14239,14239,0,1,1,2,1,1.0,4.0,661.0,4,30,5,5,5,5,5,5,1,1
14240,14240,1,1,1,12,2.5,4.0,4.0,1840.0,2,1125,10.0,10.0,10.0,10.0,10.0,10.0,1,6
14241,14241,0,2,2,2,1,1.0,1.0,80.0,5,1125,5,5,5,5,5,5,1,1
14242,14242,0,1,2,2,2,1.0,1.0,79.0,4,1125,5,5,5,5,5,5,0,3
14243,14243,0,18,2,2,1,1.0,1.0,230.0,1,1125,5,5,5,5,5,5,1,1
14244,14244,0,4,4,6,2,1.0,6.0,80.0,1,1125,5,5,5,5,5,5,1,1
14245,14245,0,29,2,2,1,1.0,1.0,481.0,1,1125,5,5,5,5,5,5,1,5
14246,14246,0,18,2,2,1,1.0,1.0,230.0,1,1125,5,5,5,5,5,5,1,1
14247,14247,1,1,1,4,1,1.0,2.0,234.0,1,1125,9.0,10.0,10.0,10.0,10.0,10.0,0,7
14248,14248,0,1,1,4,1,1.0,0.0,217.0,1,1125,10.0,7.0,10.0,10.0,10.0,9.0,1,1
14249,14249,0,3,2,3,1,1.0,3.0,495.0,1,1125,8.0,10.0,10.0,10.0,8.0,10.0,1,6
14250,14250,0,22,1,2,1,1.0,2.0,200.0,1,1125,10.0,10.0,10.0,10.0,10.0,9.0,0,4
14251,14251,0,7,1,6,2,2.0,4.0,866.0,2,180,9.0,9.0,10.0,10.0,9.0,9.0,0,1
14253,14253,0,1,2,2,1,1.0,1.0,80.0,1,1125,9.0,9.0,10.0,10.0,10.0,10.0,1,1
14254,14254,1,1,1,4,1,1.0,2.0,306.0,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,0,7
14255,14255,1,1,1,2,1,1.0,1.0,290.0,1,1125,9.0,8.0,10.0,9.0,8.0,9.0,0,7
14256,14256,0,14,2,2,2,1.0,0.0,96.0,1,365,5,5,5,5,5,5,1,1
14257,14257,0,8,2,2,1,2.0,2.0,90.0,1,1125,5,5,5,5,5,5,1,1
14258,14258,0,12,2,3,1,1.0,0.0,260.0,1,1125,5,5,5,5,5,5,0,3
14259,14259,0,7,1,3,1,1.0,2.0,98.0,1,365,2.0,2.0,2.0,2.0,2.0,2.0,0,2
14260,14260,1,4,1,3,1,1.0,2.0,457.0,2,30,10.0,10.0,10.0,10.0,10.0,9.0,0,1
14261,14261,0,1,1,3,1,1.0,2.0,1427.0,1,1125,5,5,5,5,5,5,0,1
14263,14263,0,2,2,2,2,1.0,1.0,190.0,2,30,5,5,5,5,5,5,0,1
14265,14265,0,7,1,3,1,1.0,1.0,149.0,3,1125,5,5,5,5,5,5,1,1
14266,14266,0,1,1,4,1,1.0,2.0,160.0,1,365,5,5,5,5,5,5,1,12
14267,14267,0,1,1,2,1,1.0,0.0,144.0,1,365,5,5,5,5,5,5,1,12
14268,14268,0,1,1,2,1,1.0,1.0,124.0,1,365,5,5,5,5,5,5,1,12
14269,14269,0,13,1,4,1,1.0,1.0,326.0,1,1125,8.0,8.0,8.0,8.0,10.0,8.0,1,7
14270,14270,0,13,1,4,1,1.0,1.0,326.0,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,1,7
14271,14271,0,5,1,3,1,1.0,2.0,428.0,1,1125,5,5,5,5,5,5,0,1
14272,14272,0,1,1,2,1,1.0,1.0,402.0,4,30,5,5,5,5,5,5,1,2
14273,14273,0,7,2,1,1,1.0,1.0,40.0,1,30,5,5,5,5,5,5,0,1
14275,14275,0,7,1,4,1,1.0,4.0,370.0,5,30,5,5,5,5,5,5,0,2
14278,14278,0,5,2,2,1,1.0,1.0,102.0,1,1125,5,5,5,5,5,5,1,1
14279,14279,0,2,1,3,1,1.0,2.0,402.0,3,365,5,5,5,5,5,5,1,2
14280,14280,0,20,1,2,1,1.0,2.0,326.0,1,365,5,5,5,5,5,5,0,1
14281,14281,0,5,2,2,1,1.0,4.0,385.0,2,1125,5,5,5,5,5,5,0,1
