,Unnamed: 0,Unnamed: 0.1,host_is_superhost,neighbourhood_cleansed,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count
17364,19441,19441,0,3,1,2,1.0,1.0,3.0,152.0,2,1125,8.0,2.0,8.0,10.0,10.0,6.0,1,3
17365,19442,19442,0,1,1,5,1.0,1.0,2.0,500.0,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,1,11
17367,19444,19444,0,5,2,3,1.0,1.0,2.0,200.0,3,20,5.0,5.0,5.0,5.0,5.0,5.0,1,2
17372,19449,19449,0,2,1,4,2.0,2.0,2.0,977.0,30,1125,5.0,5.0,5.0,5.0,5.0,5.0,1,138
17374,19451,19451,0,1,1,5,1.0,1.0,1.0,494.0,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,1,11
17375,19452,19452,0,4,2,2,2.0,1.0,1.0,80.0,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,1,1
17376,19453,19453,0,1,2,2,1.0,1.0,1.0,95.0,1,1125,10.0,8.0,10.0,10.0,9.0,10.0,1,5
17377,19454,19454,0,27,1,6,2.0,2.0,2.0,425.0,3,1125,10.0,10.0,10.0,10.0,10.0,10.0,0,2
17378,19455,19455,1,1,2,2,1.0,1.0,1.0,174.0,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,1,9
17379,19456,19456,0,1,1,3,1.0,1.0,2.0,333.0,3,15,10.0,10.0,10.0,10.0,10.0,10.0,0,1
17380,19457,19457,1,1,1,6,1.0,1.0,4.0,439.0,2,1125,10.0,10.0,10.0,10.0,10.0,10.0,1,4
17381,19458,19458,0,9,2,2,1.0,1.0,2.0,80.0,1,15,5.0,5.0,5.0,5.0,5.0,5.0,1,2
17382,19460,19460,0,7,2,1,1.0,1.0,1.0,122.0,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,1,1
17383,19461,19461,1,1,1,4,1.0,1.0,1.0,228.0,2,21,10.0,10.0,10.0,10.0,10.0,10.0,1,5
17384,19463,19463,0,3,2,2,1.0,1.0,1.0,130.0,1,30,10.0,10.0,10.0,10.0,10.0,10.0,1,10
17385,19464,19464,0,4,1,6,1.0,2.0,3.0,571.0,2,1125,5.0,5.0,5.0,5.0,5.0,5.0,1,1
17387,19466,19466,0,4,2,2,1.0,1.0,1.0,381.0,2,1125,5.0,5.0,5.0,5.0,5.0,5.0,0,1
17388,19467,19467,0,1,1,4,1.0,1.0,2.0,333.0,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,0,1
17389,19468,19468,0,28,1,4,1.0,2.0,4.0,250.0,1,1125,2.0,10.0,8.0,6.0,4.0,6.0,1,4
17390,19469,19469,0,3,2,5,2.0,1.0,2.0,257.0,1,7,5.0,5.0,5.0,5.0,5.0,5.0,1,5
17391,19470,19470,0,17,1,4,1.0,2.0,2.0,270.0,10,30,9.0,10.0,10.0,10.0,9.0,10.0,0,1
17392,19471,19471,0,3,1,5,1.0,2.0,4.0,201.0,1,365,5.0,5.0,5.0,5.0,5.0,5.0,1,1
17394,19474,19474,0,15,1,4,1.0,1.0,2.0,244.0,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,0,1
17395,19475,19475,0,18,2,1,1.0,1.0,0.0,89.0,1,7,5.0,5.0,5.0,5.0,5.0,5.0,1,1
