host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,room_type,accommodates,bathrooms_text,bedrooms,beds,minimum_nights,maximum_nights,has_availability,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month,price
within an hour,100.0,0.0,0.0,1.0,1.0,1.0,1.0,5,2,1,1,1.0,1.0,3,100,1,1,0,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1,0.01,187.0
within a day,92.0,96.0,0.0,16.0,16.0,1.0,1.0,1,1,4,2,1.0,4.0,2,180,1,3,0,0,100.0,9.0,10.0,10.0,10.0,10.0,8.0,0,15,0.03,1513.0
within a day,92.0,96.0,0.0,16.0,16.0,1.0,1.0,1,1,4,2,1.0,4.0,2,180,1,1,0,0,,,,,,,,0,15,0.01,1903.0
,,,0.0,1.0,1.0,1.0,0.0,1,2,1,1,1.0,,2,1125,1,0,0,0,,,,,,,,0,1,,856.0
,,,0.0,1.0,1.0,1.0,1.0,5,2,2,1,1.0,1.0,1,1125,1,0,0,0,,,,,,,,0,1,,383.0
,,,0.0,1.0,1.0,1.0,0.0,6,1,1,1,1.0,1.0,1,21,1,0,0,0,,,,,,,,0,1,,333.0
within a few hours,100.0,100.0,0.0,2.0,2.0,1.0,1.0,4,1,4,1,2.0,4.0,6,60,1,11,0,0,95.0,9.0,9.0,10.0,10.0,10.0,10.0,0,1,0.17,1200.0
within an hour,92.0,100.0,1.0,2.0,2.0,1.0,1.0,3,1,4,1,1.0,3.0,1,1125,1,1,0,0,,,,,,,,1,5,0.03,1418.0
,,,0.0,1.0,1.0,1.0,0.0,1,2,2,1,1.0,,1,1125,1,0,0,0,,,,,,,,0,1,,666.0
,,,0.0,2.0,2.0,1.0,1.0,6,2,1,1,1.0,1.0,1,15,1,0,0,0,,,,,,,,0,2,,385.0
,,,0.0,1.0,1.0,1.0,0.0,2,1,3,1,1.0,2.0,2,90,1,7,0,0,100.0,10.0,10.0,10.0,10.0,9.0,9.0,1,1,0.07,1142.0
within an hour,100.0,100.0,0.0,16.0,16.0,1.0,1.0,3,2,3,2,1.0,2.0,2,200,1,62,1,0,93.0,9.0,9.0,9.0,10.0,9.0,9.0,1,15,0.6,113.0
within a few hours,100.0,53.0,1.0,3.0,3.0,1.0,1.0,1,1,3,1,1.0,2.0,2,364,1,28,0,0,89.0,9.0,9.0,9.0,9.0,9.0,9.0,0,3,0.36,400.0
,,,0.0,1.0,1.0,1.0,0.0,1,2,2,1,1.0,2.0,1,1125,1,0,0,0,,,,,,,,0,1,,1047.0
,,,0.0,2.0,2.0,1.0,1.0,6,2,2,1,1.0,1.0,2,10,1,0,0,0,,,,,,,,0,2,,337.0
a few days or more,0.0,,0.0,1.0,1.0,1.0,1.0,2,3,6,2,3.0,4.0,10,150,1,2,0,0,100.0,10.0,8.0,10.0,10.0,10.0,10.0,1,1,0.03,966.0
,,,0.0,3.0,3.0,1.0,1.0,1,2,2,1,,1.0,1,365,1,0,0,0,,,,,,,,0,3,,571.0
,,,0.0,1.0,1.0,1.0,1.0,1,1,2,1,1.0,2.0,30,730,1,0,0,0,,,,,,,,0,1,,571.0
